,adversary,target,technique,publish date,motive,interesting_insight
485,Russian hackers,high-value corporate networks,"using vulnerable IoT devices like a printer, VOIP phone, and video decoder",August 2019,,
486,unidentified Spanish-language espionage group,senior officials in the Venezuelan Army,unspecified,August 2019,theft of sensitive mapping files,The campaign lasted for seven years
487,State-sponsored Chinese hackers,employees of three major U.S. utility companies,spear-phishing campaign,July 2019,,
488,Unknown,Capital One,Unknown,July 2019,Unknown,The hacker accessed data on 100 million credit card applications
489,state-sponsored group,ProtonMail,hacking,July 2019,gain access to accounts held by reporters and former intelligence officials conducting investigations of Russian intelligence activities,The target was an encrypted email service provider
490,Chinese government,"BASF, Siemens, and Henkel",state-sponsored hacking campaign,July 2019,Unknown,Several major German industrial firms were targeted
491,A Chinese hacking group,"government agencies across East Asia involved in information technology, foreign affairs, and economic development",Unknown,July 2019,Unknown,Unknown
492,Unknown,A merchant vessel,Malware,July 2019,Unknown,The attack happened while the vessel was traveling through international waters
493,An Iranian hacking group,"LinkedIn users associated with financial, energy, and government entities operating in the Middle East",Unknown,July 2019,Unknown,Unknown
494,"Unknown groups from Iran, North Korea, and Russia","Think tanks, NGOs, and other political organizations",Cyberattacks,July 2019,Unknown,Microsoft detected almost 800 cyberattacks over the past year
495,Russian troll farm,elections in several African countries,Unknown,July 2019,to influence the elections,two men were arrested in Libya for working with the hacker group
496,unidentified state sponsored hackers,Croatian government agencies,Unknown,July 2019,Unknown,Unknown
497,a known Iran-linked hacking group,government networks,malware,July 2019,Unknown,U.S. Cybercommand issued an alert warning
498,Western intelligence services,Russian internet search company Yandex,hacking,June 2019,to spy on user accounts,The attack was alleged to have occurred in late 2018
499,a Chinese espionage group,ten international cellphone providers,hacking,June 2019,"to track dissidents, officials, and suspected spies",The hacking operation spanned across seven years and thirty countries
500,U.S.,Iranian computer systems used to control missile and rocket launches,offensive cyber operations,June 2019,Unknown,Unknown
501,CIA-backed cyber espionage network,Iran,cyber espionage,June 2019,espionage,Iran announced that it had exposed and helped dismantle the network
502,U.S. officials,Russian grid systems,hacking tools,June 2019,deterrent and warning to Russia,
503,a major hacking group with suspected Russian ties,networks of electrical utilities,conducting reconnaissance,June 2019,Unknown,U.S. grid regulator NERC issued a warning
504,China,Telegram,denial-of-service attack,June 2019,disrupt communications among Hong Kong protestors,
505,A suspected Iranian group,"telecommunications services in Iraq, Pakistan, and Tajikistan",hacked,June 2019,,
506,Chinese intelligence services,Australian University,hacking,June 2019,to collect data they could use to groom students as informants before they were hired into the civil service,
507,Chinese state-sponsored hackers,Government organizations in two different Middle Eastern countries,,May 2019,,
508,A Chinese government-sponsored hacking group,unidentified entities across the Philippines,,May 2019,,
509,Iran,"U.S., Israel, and Saudi Arabia",network of websites and accounts,May 2019,spread false information,
510,Hamas,Israeli targets,unspecified,May 2019,unspecified,The Israeli Defense Forces launched an airstrike in response to the hacking attempt
511,Hackers affiliated with the Chinese intelligence service,NSA,using NSA hacking tools,May 2019,Unknown,"The hackers had been using the tools since 2016, more than a year before those tools were publicly leaked"
512,Chinese hackers,Amnesty International’s Hong Kong office,Unknown,April 2019,Unknown,The hackers accessed the personal information of the office’s supporters
513,Luhansk People’s Republic,Ukrainian military and government organizations,Unknown,April 2019,Unknown,Luhansk People’s Republic is a Russia-backed group that declared independence from Ukraine in 2014
514,Chinese hackers,General Electric,stole,April 2019,trade secrets concerning jet engine turbine technologies,
515,Unknown,Lithuania's Defense Minister,Spoofed email addresses,April 2019,Discredit the Defense Minister by spreading rumors of corruption,The attack was a disinformation campaign
516,Unknown,web service used to publish the vote tallies from Finland’s elections,denial-of-service attack,April 2019,Unknown,The Finnish police probed the attack
517,Iranian hackers,"banks, local government networks, and other public agencies in the UK",hacking campaign,April 2019,Unknown,Unknown
518,Chinese hackers,Pharmaceutical company Bayer,Unknown,April 2019,targeting sensitive intellectual property,Bayer announced it had prevented an attack
519,Chinese hackers,Israeli defense firms,Unknown,March 2019,Target had connections to the U.S. military,Unknown
520,Unknown,"Grid operators in Los Angeles County, California and Salt Lake County, Utah",DDoS attack,March 2019,Disrupt operations,The attack did not cause any outages
521,The Australian Signals Directorate,ISIS targets in the Middle East,cyber attacks,March 2019,to disrupt their communications in coordination with coalition forces,
522,An Iranian cyber espionage group,government and industry digital infrastructure in Saudi Arabia and the U.S.,Unknown,March 2019,Unknown,Unknown
523,State supported Vietnamese hackers,foreign automotive companies,Unknown,March 2019,to acquire IP,Unknown
524,Iran's intelligence service,former IDF Chief and Israeli opposition leader Benny Gantz’ cellphone,hacked,March 2019,ahead of Israel’s April elections,
525,North Korean hackers,an Israeli security firm,industrial espionage campaign,March 2019,industrial espionage,
526,Russian hackers,European government agencies,,March 2019,ahead of EU elections in May,
527,Chinese and Russian hackers,Indonesia’s National Election Commission,probed,March 2019,ahead of presidential and legislative elections in the country,Indonesia’s voter database was targeted
528,government-backed hackers,"Egyptian human rights activists, media, and civil society organizations",Unknown,March 2019,Unknown,Civil liberties organizations claimed the attack
529,North Korea,UN Security Council,state-sponsored hacking,March 2019,to evade international sanctions,stole $670 million in foreign currency and cryptocurrency between 2015 and 2018
530,Iranian hackers,more than 200 oil-and-gas and heavy machinery companies across the world,stealing corporate secrets and wiping data from computers,March 2019,stealing corporate secrets and wiping data,
531,Pakistani hackers,Indian government websites and critical systems,offensive cyber measures,March 2019,Following an attack on Indian military forces in Kashmir,Indian officials reported that they engaged in offensive cyber measures to counter the attacks
532,Chinese hackers,27 universities in the U.S.,Unknown,March 2019,to steal research on naval technologies,U.S. officials reported the attack
533,China-linked hackers,UN International Civil Aviation Organizations,spread malware to foreign government websites,February 2019,Unknown,The attack was revealed in 2019 but occurred in late 2016
534,North Korean,Vietnam summit of Kim Jong Un and Donald Trump,Unknown,February 2019,Unknown,The attack happened prior to the summit
535,Unknown,South Korean institutions,phishing campaign,Unknown,Unknown,The hackers used documents related to a diplomatic event as bait
536,U.S. Cybercommand,Internet Research Agency,blocked internet access,February 2019,Involved in information operations against the U.S. during the 2016 presidential election,The attack was during the 2018 U.S. midterm elections
537,North Korean hackers,Russian companies,Hacking campaign,February 2019,State-sponsored,
538,Russian intelligence services,individuals in Europe at civil society groups working on election security and democracy promotion,Unknown,February 2019,Unknown,Unknown
539,State-sponsored hackers,computer systems of several political parties and the Australian Federal Parliament,Unknown,February 2019,Unknown,Unknown
540,Chinese hackers,Airbus,stole the personal and IT identification information,February 2019,Unknown,The target was the personal and IT identification information of some of Airbus's European employees
541,Chinese Ministry of State Security,Visma,Unknown,February 2019,to steal trade secrets from the firm’s clients,Unknown
542,Hackers associated with the Russian intelligence services,Center for Strategic and International Studies,Unknown,January 2019,Unknown,Unknown
543,North Korean botnet,"companies in the media, aerospace, financial, and critical infrastructure sectors",botnet,January 2019,disruption,The U.S. Department of Justice announced an operation to disrupt the botnet
544,Russian-based hacking group,Ministry of Defense,cyberattack targeting the mailboxes,January 2019,Unknown,The attack targeted the mailboxes of nineteen executives of the ministry
545,Former U.S. intelligence personnel,"phones of activists, diplomats, and foreign government officials",Unknown,January 2019,to help the UAE,Former U.S. intelligence personnel were revealed to be working for the UAE
546,Huawei and its CFO Meng Wanzhou,U.S.,"wire and bank fraud, obstruction of justice, conspiracy to steal trade secrets",January 2019,alleged crimes,U.S. prosecutors unsealed two indictments
547,Iranian hackers,telecom and travel industries,surveil and collect the personal information,January 2019,"to surveil and collect the personal information of individuals in the Middle East, U.S., Europe, and Australia",The attack has been ongoing since at least 2014
548,Russian hackers,U.S. Democratic National Committee,Unknown,January 2019,Unknown,The attack happened in the weeks after the 2018 midterm elections
549,unknown hackers,South Korea’s Ministry of National Defense,,January 2019,,
550,Unknown,the ministry’s procurement office,compromised computer systems,Unknown,Unknown,Unknown
551,"a group of hackers from the U.S., Russia, and Ukraine",SEC’s online corporate filing portal,exploited to execute trades based on non-public information,January 2019,execute trades based on non-public information,The U.S. Securities and Exchange Commission charged the hackers with the 2016 breach
552,Iran,"telecommunications and internet infrastructure providers as well as government entities in the Middle East, Europe, and North America",DNS hijacking,January 2019,Unknown,"This was a multi-year, global campaign"
553,Unknown,German politicians,Unknown,January 2019,Unknown,Targets represented every political party except the far-right AfD
554,Chinese hackers,managed service providers,stole IP and confidential business and technological information,December 2018,Unknown,Managed service providers are companies that manage IT infrastructure for other businesses and governments
555,North Korean hackers,Chilean interbank network,tricking an employee into installing malware over the course of a fake job interview,December 2018,,
556,Chinese hackers,EU’s communications systems,compromised,December 2018,maintaining access to sensitive diplomatic cables,The hackers had access for several years
557,North Korean hackers,"personal information of almost 1,000 North Korean defectors living in South Korea",Unknown,December 2018,Unknown,Unknown
558,Two Chinese hackers,IP and trade secrets of companies across 12 countries,cyber espionage,December 2018,Espionage,"The United States, in coordination with Australia, Canada, the UK, and New Zealand, accused China for conducting a 12-year campaign"
559,Chinese hackers,Navy contractors,information theft,December 2018,stealing ship maintenance data and missile plans,U.S. Navy officials report that Chinese hackers had repeatedly stolen information
560,Russia-linked group,government agencies of Ukraine and multiple NATO members,cyber campaign,December 2018,Unknown,Unknown
561,a state-sponsored Middle Eastern hacking group,"telecommunications companies, government embassies, and a Russian oil company located across Pakistan, Russia, Saudi Arabia, Turkey, and North America",Unknown,December 2018,Unknown,Unknown
562,Unknown,Saipem,Modified version of the Shamoon virus,December 2018,Unknown,"The attack took down hundreds of the company’s servers and personal computers in the UAE, Saudi Arabia, Scotland, and India"
563,North Korean hackers,universities in the U.S.,Unknown,December 2018,focus on individuals with expertise in biomedical engineering,The attack has been ongoing since May
564,Russian special services,information systems of Ukraine’s judicial authority,Unknown,December 2018,disrupt,The Security Service of Ukraine blocked the attempt
565,Russian intelligence services,Czech foreign ministry,Unknown,December 2018,Unknown,The attack was discovered a year after it happened
566,Chinese hackers,American hotel chain,breaching the systems,December 2018,stealing the personal information of over 500 million customers,
567,Russia-linked group,"email accounts of several members of the German parliament, German military and several embassies",not specified,November 2018,not specified,not specified
568,Russia,Ukrainian government and military targets,coordinated cyber attacks,November 2018,before and during the attack on Ukrainian ships in late November,
569,Mexican government-linked group,colleagues of a slain journalist investigating drug cartels,spyware,November 2018,Unknown,The target was investigating drug cartels
570,Unknown,Government websites of Lebanon and the UAE,Cyberespionage,November 2018,Unknown,Security researchers discovered the campaign
571,two Iranians,Atlanta’s government,ransomware attack,November 2018,Unknown,The U.S. Justice Department indicted the hackers
572,foreign hackers,China,"theft of confidential emails, utility design plans, lists of army units, and more",November 2018,Unknown,Chinese state media reports that the country had been the victim of multiple attacks by foreign hackers in 2018
573,North Korean hackers,ATMs across Asia and Africa,malware,November 2018,steal tens of millions of dollars,
574,Russian hackers,"computer systems of military and law enforcement agencies, defense contractors, and media companies",impersonating U.S. State Department officials,November 2018,attempted to gain access,Security researchers report
575,Unknown,Ukraine state agencies,Malware implantation,November 2018,Preparation for a future large-scale cyber attack,Ukraine’s CERT discovered the malware
576,Chinese cyberespionage group,UK engineering company,techniques associated with Russia-linked groups,November 2018,to avoid attribution,Researchers discover that a Chinese cyberespionage group targeted a UK engineering company using techniques associated with Russia-linked groups in an attempt to avoid attribution
577,nation-state hackers,Pakistani Air Force,zero-day exploits,November 2018,,
578,Security researchers,Iranian domestic surveillance campaign,,November 2018,,
579,Unknown,Australian defense shipbuilder Austal,Unknown,November 2018,Theft of unclassified ship designs,The stolen designs were later sold online
580,Unknown,Iran’s civil defense agency,Stuxnet,October 2018,Unknown,"The country had recently neutralized a new, more sophisticated version of Stuxnet"
581,Chinese intelligence officers and hackers working for them,U.S. aerospace companies,hack,October 2018,steal information,The U.S. Department of Justice indicted the hackers
582,a research institute run by the Russian government,a petrochemical plant in Saudi Arabia,malware,October 2018,Unknown,Unknown
583,Cyber Command,individual Russian operatives,targeting,October 2018,deter them from interfering in the 2018 midterm elections,U.S. defense officials announced the operation
584,China and Russia,President Trump,eavesdropping on calls,October 2018,Unknown,The calls were made from an unsecured phone
585,Israel Defense Force,personal correspondence of social media users,monitoring,October 2018,Unknown,The Israel Defense Force requested cybersecurity companies to develop proposals for the attack
586,Unknown,U.S. election infrastructure,Cyber activity,October 2018,Interference in the 2018 midterm elections,The U.S. Department of Homeland Security detected the activity
587,Unknown,The Centers for Medicare and Medicaid Services,Compromised a government computer system,October 2018,"Gaining access to the personal data of 75,000 people",The attack happened ahead of the start of ACA sign-up season
588,Russian group,information and telecommunication systems of Ukrainian government groups,attempted hack,October 2018,Unknown,The Security Service of Ukraine announced the attempted hack
589,GRU,"FIFA, Westinghouse Electric Company, the Organisation for the Prohibition of Chemical Weapons, and the U.S. and World Anti-Doping Agencies",hacking,October 2018,Unknown,The U.S. Justice Department announces criminal charges against seven GRU officers
590,a Russian hacking group,computers at government institutions in the Balkans and in Central and Eastern Europe,malware,September 2018,Unknown,The attack targeted the firmware of computers
591,foreign government hackers,email accounts of Senators and their staff,attempts to gain access,September 2018,not specified,a major technology company had alerted multiple Senate offices
592,36 different governments,"targets in at least 45 countries, including the U.S., France, Canada, and the UK",Pegasus spyware,September 2018,Unknown,Unknown
593,Unknown,U.S. State Department,Breach of unclassified email system,September 2018,Exposing personal information of employees,Several hundred employees' personal information was exposed
594,two Russian spies,Swiss defense lab,cyber tools,September 2018,sabotage the Swiss defense lab analyzing the nerve agent used to poison former Russian Agent Sergei Skripal,The spies were caught in the Netherlands
595,Iranian hackers,"Iranian citizens, ISIS supporters and members of the Kurdish ethnic group",mobile spyware campaign,September 2018,surveillance,The hacking has been ongoing since 2016
596,Russian hackers,email inboxes of religious leaders connected to Ukraine,Unknown,September 2018,efforts to disassociate Ukraine’s Orthodox church from its association with Russia,Unknown
597,a Russian hacker,JP Morgan Chase,hack,September 2018,theft of data from over 80 million customers,The U.S. Department of Justice announces the indictment and extradition of a Russian hacker
598,North Korean Hacker,"Sony, Bangladeshi bank","Hacking, Ransomware attacks",September 2018,"Theft, Disruption",Park Jin Hyok was involved in multiple high-profile attacks
599,Unknown,"Vietnamese defense, energy, and government organizations",Cyber espionage,September 2018,Espionage,This campaign is linked to attacks that occurred in 2013 and 2014
600,Chinese hackers,Starwood hotel chain,breached the systems,September 2018,steal personal information,It is estimated that the personal information of up to 500 million people was stolen
601,North Korean hackers,India’s Cosmos Bank,"breaking into the bank’s system and authorizing thousands of unauthorized ATM withdrawals, as well as several illegal money transfers through the SWIFT financial network",August 2018,steal money,stole $13.5 million
602,Iranian hackers,websites and login pages of 76 universities in 14 countries,stole the credentials of users who attempted to sign in,August 2018,intellectual property theft,The attackers gained access to library resources
603,groups in Russia and Iran,"users in the U.S., Latin America, Britain, and the Middle East","disinformation campaigns involving 652 fake accounts, pages, and groups",August 2018,Unknown,Facebook identified multiple new disinformation campaigns on its platform
604,Russian hackers,U.S. Senators and conservative think tanks critical of Russia,Unknown,August 2018,Unknown,Microsoft was the one to announce the hacking attempt
605,an Iranian hacking group,"the industrial control systems of electric utility companies in the U.S., Europe, East Asia, and the Middle East",Unknown,July 2018,Unknown,Unknown
606,Russian hackers,networks of multiple U.S. electric utilities,Unknown,July 2018,put attackers in a position where they could have caused blackouts,The Department of Homeland Security revealed the attack
607,Russia’s GRU intelligence agency,Senator Claire McCaskill's 2018 re-election campaign,phishing emails designed to harvest their passwords,July 2018,Unknown,Attackers unsuccessfully targeted staffers in the Senator’s office
608,a hacking group linked to Iran,"energy, government, finance, and telecommunications entities in the Middle East",Unknown,July 2018,Unknown,The group has been active since early 2017
609,Russian hackers,campaigns of three Democratic candidates running for the 2018 midterm elections,Unknown,July 2018,Unknown,Microsoft was the one to reveal this information
610,Russian hackers,Italian navy,malware designed to insert a backdoor into infected networks,July 2018,,
611,Unknown group from China,IoT devices in Finland,Unknown,July 2018,President Trump’s summit with Vladimir Putin in Helsinki,The majority of attacks originated in China
612,state-sponsored hackers,Singapore’s largest healthcare institution,Unknown,July 2018,Unknown,"Led to the leakage of personal information for 1.5 million patients, along with prescription details for 160,000 others"
613,state-sponsored Russian hackers,network equipment of a chlorine plant in central Ukraine,malware,July 2018,Unknown,"The virus used in the attack is the same malware responsible for the infection of 500,000 routers worldwide"
614,12 Russian intelligence officers,"Democratic Party, Democratic National Committee, Hillary Clinton campaign, election infrastructure, local election officials","large-scale cyber operations, theft and subsequent leakage of emails",July 2018,interfere with the 2016 Presidential election,The U.S. Department of Justice announced the indictments of the officers
615,Chinese hackers,"political actors on both sides of the upcoming Cambodian elections, the country’s National Election Commission, several government ministries, the Cambodian Senate, at least one Member of Parliament, and multiple media outlets and human rights activists",spying,July 2018,political,The targets were not only political actors but also media outlets and human rights activists
616,Unknown,Campaigns of at least two local Democratic candidates,DDoS attacks,July 2018,Disrupt campaign websites during periods of active fundraising and positive news publicity,The attacks were timed to coincide with periods of active fundraising and positive news publicity
617,Chinese hackers,Australian National University (ANU),breach,July 2018,desire to siphon intellectual property,
618,Unknown,Exactis,Data breach,June 2018,Unknown,"Exposed the information of 340 million people, including their political preferences, browsing habits, and purchase data."
619,Russian hackers,"Ukrainian banks, energy companies, and other organizations",establishing backdoors,June 2018,preparation for a wide-scale strike against the country,
620,Chinese hackers,"satellite, telecom, and defense organizations in the U.S. and Southeast Asia",cyber espionage,June 2018,to collect data,
621,A Russian hacking group linked to disrupting the Peyongchang Olympics,"individuals in France, Germany, Switzerland, Russia, and Ukraine linked to a biochemical threat conference organized by a company involved in the investigation of the poisoning of Sergei Skripal",Unknown,June 2018,Unknown,"The attack was targeted at individuals linked to a biochemical threat conference, which was organized by a company involved in the investigation of the poisoning of Sergei Skripal"
622,A Chinese hacking group,a national data center in a Central Asian country,watering hole attack,June 2018,to inject malicious code onto other government websites connecting to the data center,
623,North Korean hackers,a South Korean think tank focused on national security issues,zero-day exploit,June 2018,Unknown,The hackers compromised the organization’s website and inserted a backdoor for injecting code
624,Russian intelligence and military units,U.S.,cyberattacks,June 2018,Unknown,The U.S. Treasury Department announced sanctions against five Russian companies and three individuals for enabling the attacks
625,Chinese government hackers,U.S. Navy contractor,compromised the networks,June 2018,"stealing 614 GB of data related to weapons, sensor, and communication systems under development for U.S. submarines",
626,North Korean hackers,defectors,compromised Android apps hosted through the Google Play market,May 2018,"stealing device information and allowing the insertion of executable code stealing photos, contact lists, and text messages",Cyber security researchers reported the attack
627,Pakistani military,"targets in the Middle East, Afghanistan, and India",Facebook Messenger to distribute spyware,May 2018,"compromise government officials, medical professionals, and others",Security researchers reveal
628,Turkish government hackers,Turkish dissidents and protesters,surveillance software FinFisher,May 2018,to infect,
629,An unknown group of hackers,Mexican banks,"exploiting the SWIFT transfer system, submitting a series of false transfer orders to phantom accounts in other banks and emptying the accounts in dozens of branch offices",May 2018,steal money,Stole between $18 and $20 million dollars
630,Iranian hackers,"Diplomats in the Foreign Affairs ministries of US allies, global telecommunication companies",Sending of emails containing malware,May 2018,US withdrawal from the Iran nuclear agreement,Increase in Iranian hacking activity within 24 hours of President Trump’s announcement
631,a hacking group connected to Russian intelligence services,business and ICS networks of electric utilities in the US and UK,conducting reconnaissance,May 2017,Unknown,The hacking activity was revealed a year later in May 2018 by researchers
632,Unknown group from China,"Satellite, telecom, and defense organizations in the United States and Southeast Asia",Cyber espionage,April 2018,Data collection,The campaign originated in China
633,an Indian hacking group,government agencies and research institutions in China and Pakistan,Unknown,April 2018,Unknown,The hacking has been ongoing since 2013
634,North Korean hackers,"critical infrastructure, finance, healthcare, and other industries in 17 countries",malware resembling the code used in the 2014 Sony Pictures attack,April 2018,Unknown,Unknown
635,Hamas,mobile phones owned by members of Fatah,spyware,April 2018,rivalry with Fatah,The attack was revealed by Israeli cyber researchers
636,Chinese state-sponsored hacking groups,Japanese defense companies,Unknown,April 2018,to gain information on Tokyo’s policies towards North Korea,Unknown
637,Russia,western critical infrastructure,compromising home and business routers,April 2018,deliberately targeting,US and UK officials issued a joint warning
638,UK’s Government Communications Headquarters (GCHQ),ISIS,offensive cyber operations,April 2018,"suppress their propaganda, disrupt their coordination, and protect deployed military personnel",
639,Russia,Germany’s domestic intelligence services,attack on the government’s computer networks,December 2017,Unknown,The chief of Germany’s domestic intelligence services accused Russia of being behind the attack
640,Russian state actors,UK critical infrastructure,infiltrating supply chains,April 2018,Unknown,The UK’s National Cyber Security Centre released an advisory note warning about the attack
641,Unknown,All government services of Sint. Maarten,Unknown,April 2018,Unknown,This is the third cyber attack the country has faced in just over a year
642,The North Korean hacking group responsible for the SWIFT attacks,a Central American online casino,Unknown,April 2018,siphon funds,Unknown
643,Chinese hackers,U.S. defense and engineering companies with ties to the South China Sea,The attacks,March 2018,sought sensitive data in line with government espionage objectives,
644,Unknown,Online services for the city of Atlanta,Ransomware attack,March 2018,"Demanding $55,000 worth of bitcoin in payment",The city would eventually spend approximately $2.6 million recovering from the attack
645,Unknown,Baltimore’s 911 dispatch system,Ransomware attack,March 2018,Unknown,The attack forced the city to revert to manual dispatching of emergency services
646,Iran,"more than 300 universities, government agencies and financial services companies",stealing intellectual property,March 2018,Unknown,The US Departments of Justice and Treasury accused Iran in an indictment
647,Russian cyber attackers,"US critical infrastructure including energy, nuclear, water, aviation, and manufacturing facilities",Unknown,March 2018,Unknown,The FBI and Department of Homeland Security issued a joint technical alert to warn of these attacks
648,Unknown,web platform of Columbia’s national voter registry,Unknown,March 2018,Disruption of national elections,"Columbian authorities reported more than 50,000 attacks"
649,Unknown,Under Armor,Data breach,March 2018,Unknown,Compromised the information of 150 million users of its fitness and nutrition tracking app MyFitnessPal
650,a Chinese hacking group,service provider for the UK government,malware,March 2018,to gain access to contractors at various UK government departments and military organizations,Cybersecurity researchers reveal
651,North Korean hacking group linked to the SWIFT financial network attacks,several major Turkish banks and government finance agencies,Unknown,March 2018,Unknown,The same group that attacked the SWIFT financial network is now targeting Turkish financial institutions
652,North Korean hackers,email accounts of the members of a UN panel enforcing trade sanctions against North Korea,Unknown,March 2018,Unknown,A UN report details the attempts
653,a Russian hacking group,online networks of Germany’s foreign and interior ministries,breached,February 2018,exfiltrating at least 17 gigabytes of data,intrusion that went undetected for a year
654,13 Russians and three companies,2016 US presidential elections,online efforts,February 2018,to interfere in the 2016 US presidential elections,The Justice Department indicted the hackers
655,Russia,US and UK,NotPetya ransomware attack,June 2017,Unknown,The attack caused billions of dollars in damages across the world
656,Russia,Pyeongchang Olympic Games,cyberattack,February 2018,Unknown,The attack took the official Olympic website offline for 12 hours and disrupted wifi and televisions at the Pyeongchang Olympic stadium.
657,Russian hackers,voter registration rolls of several US states,Unknown,February 2018,Unknown,The hacking occurred prior to the 2016 election
658,Chinese hackers,U.S. Navy contractor working for the Naval Undersea Warfare Center,infiltration,January 2018,"To steal 614 gigabytes of material related to a supersonic anti-ship missile for use on U.S. submarines, submarine radio room information related to cryptographic systems and the Navy submarine development unit’s electronic warfare library","The stolen data included information about a supersonic anti-ship missile for use on U.S. submarines, submarine radio room information related to cryptographic systems and the Navy submarine development unit’s electronic warfare library"
659,China,African Union,"Bugged offices, Access to confidential information through supplied computer network",January 2018,Unknown,China had built the AU headquarters
660,Unknown,A Japan-based cryptocurrency exchange,hack,January 2018,Stealing $530 million worth of the cryptocurrency NEM,Possibly the largest cryptocurrency heist of all time
661,Unknown,a Norwegian hospital system,very professional attempt,January 2018,connected to the upcoming NATO Trident Juncture 18 military exercise,Norwegian officials discover the attack
662,A hacking group with ties to the Lebanese General Directorate of General Security,"journalists, military officers, corporations, and other targets in 21 countries worldwide","steal text messages, call logs, and files",January 2018,Unknown,The hacking campaign lasted for six years
663,unknown actors,The Unique Identification Authority of India and its Aadhaar system,hacking,January 2018,to make personal data available for purchase,more than 1 billion people's personal data was made available for purchase
664,Unknown,Schneider Electric,Malware,December 2017,Nation-state sponsored attack,The attack forced the shutdown of a power plant in the Middle East
665,China Aerospace Science and Industry Corporation (CASIC),Taiwan's e-Gate border control system,Pre-installed backdoors in biometric equipment,December 2017,Gather private data on both Taiwanese and foreign citizens traveling in and out of the country,The system has been compromised since its installation in 2012
666,Iranian hackers,"academic researchers, human rights activists, media outlets, and political advisors",fake social network profiles and a fake news site,December 2017,,
667,Three Chinese nationals employed at a China-based Internet security firm,"Siemens, Moody’s Analytics, and Trimble","computer hacking, theft of trade secrets, conspiracy, and identity theft",November 2017,Unknown,The hackers were indicted by a US grand jury
668,Unknown,Uber,Data theft,November 2017,Financial gain,"Uber paid hackers $100,000 to delete the stolen data of 57 million of its customers and drivers, including names, phone numbers, email addresses, and license plate numbers."
669,a sophisticated Vietnamese hacking group,"the ASEAN organization, foreign corporations with an interest in Vietnamese industries, and media, human rights, and civil society organizations",cyber espionage campaigns,November 2017,Unknown,Unknown
670,creators of NotPetya,"media organizations, train stations, airports, and government agencies in Russia and Eastern Europe","ransomware infections, leaked NSA-linked exploits, phishing campaign",October 2017,gain remote access to financial and other confidential data,the ransomware was a cover for a quiet phishing campaign
671,Unknown,Yahoo,Unknown,October 2017,Unknown,"Yahoo updated the previous projections of 1 billion accounts affected in its massive 2013 breach, acknowledging that all 3 billion accounts were compromised."
672,Russian hackers,potential attendees of CyCon,not specified,October 2017,not specified,CyCon is a cybersecurity conference organized by the US Army and the NATO CCD COE
673,Russia-linked hackers,industrial control systems at US energy companies and other critical infrastructure organizations,Unknown,October 2017,Unknown,DHS and FBI reports warn of the attack
674,Russian hackers,Companies in Poland,Unknown,October 2017,Part of a larger campaign against Eastern European corporations,This was the third hacking attempt against Poland
675,North Korean hackers,US electric companies,spear-phishing campaign,October 2017,probe utilities’ defenses,
676,North Korean hackers,South Korea’s defense data center,broke into,October 2017,"stole a large trove of sensitive documents, including joint U.S.- South Korean blueprints for war on the peninsula",The hacking took place over the course of a year
677,China,U.S. think tank and law firm,cyberattack,October 2017,both involved with fugitive Chinese tycoon Guo Wengui,
678,Unknown,Australian national security contractor,Unknown,October 2017,Stealing data related to the development of the F-35 Joint Strike Fighter,"The Australian Government revealed that the hack occurred in 2016, but it was only made public in 2017"
679,Russian government-backed hackers,NSA,exploiting the Kaspersky antivirus software,October 2017,to steal NSA hacking secrets,The attack was carried out on a contractor’s home computer
680,An Iranian hacking group,"the aerospace industry in the U.S. and Saudi Arabia, as well as petrochemical firms in South Korea",espionage campaign,September 2017,Unknown,Unknown
681,APT34,Saudi Arabia,spear-phishing,June 2019,espionage,APT34 is believed to be sponsored by the Iranian government
682,Russia,personal smartphones of NATO soldiers deployed to Poland and the Baltic states,compromised,September 2017,,
683,US Cyber Command,North Korea's the Reconnaissance General Bureau,denial-of-service attacks,September 2017,,
684,China,20 major international technology firms,inserted malware into widely used PC management tool,September 2017,Unknown,Unknown
685,Unknown,The SEC,Cyber intrusion,September 2017,Illicit trading,The cybercriminals accessed the agency’s files in 2016 and used the information gathered for illicit trading
686,Unknown,Equifax,Data breach,September 2017,Unknown,"The breach revealed 143 million people’s full names, social security numbers, birth dates, home addresses and driver’s license numbers, as well as 209,000 credit card numbers."
687,Unknown,Cambodia,Malware infections,September 2017,Surveil dissidents and disrupt domestic political activity,The attack was politically motivated
688,Unknown,Estonian e-ID cards,Exploiting a vulnerability,August 2017,Unknown,"The government replaced the compromised cards in late 2017, but claims that no cards were ever hacked."
689,North Korea,South Korean Bitcoin exchanges,Unknown,August 2017,Unknown,South Korea’s Cyber Warfare Research Center reports the attack
690,A state-sponsored spyware campaign,Indian and Pakistani government security and military organizations,spyware,August 2017,Unknown,Unknown
691,Unknown,The Scottish Parliament,brute force cyberattack,August 2017,Unknown,The attack was similar to the one that compromised the British Parliament in June.
692,Unknown,The Swedish Transport Agency’s outsourced data,Unknown,July 2017,Unknown,The hack potentially compromised confidential information and classified information on military plans.
693,China,Southeast Asian military and government organizations,over 600 strains of malware,July 2017,conduct espionage operations,Security researchers revealed details of a wide-ranging malware campaign
694,state-sponsored hackers,Industrial Control Systems of UK energy companies,Unknown,July 2017,Unknown,GCHQ issued a warning about the attack
